datetime,average
2015-03-02 01:46:29,258.78
2015-03-02 01:47:58,258.8
2015-03-02 01:49:28,258.78
2015-03-02 01:50:58,258.81
2015-03-02 01:52:27,258.87
2015-03-02 01:53:28,258.92
2015-03-02 01:54:29,259.0
2015-03-02 01:55:58,259.14
2015-03-02 01:57:28,259.09
2015-03-02 01:58:57,259.14
2015-03-02 01:59:58,259.4
2015-03-02 02:00:59,259.78
2015-03-02 02:02:28,259.73
2015-03-02 02:03:59,259.59
2015-03-02 02:05:28,259.68
2015-03-02 02:06:58,259.48
2015-03-02 02:07:59,259.51
2015-03-02 02:09:19,259.34
2015-03-02 02:10:59,259.4
2015-03-02 02:12:29,259.12
2015-03-02 02:13:59,259.11
2015-03-02 02:15:00,258.97
2015-03-02 02:16:19,259.17
2015-03-02 02:17:58,259.37
2015-03-02 02:18:59,259.31
2015-03-02 02:20:19,259.06
2015-03-02 02:21:58,259.09
2015-03-02 02:22:59,259.09
2015-03-02 02:24:28,259.04
2015-03-02 02:25:49,259.1
2015-03-02 02:26:59,258.96
2015-03-02 02:28:29,258.97
2015-03-02 02:29:58,258.96
2015-03-02 02:30:59,259.22
2015-03-02 02:32:30,258.99
2015-03-02 02:34:00,259.09
2015-03-02 02:35:28,259.15
2015-03-02 02:36:59,259.12
2015-03-02 02:38:18,259.0
2015-03-02 02:39:29,259.17
2015-03-02 02:40:50,259.24
2015-03-02 02:41:58,259.29
2015-03-02 02:42:59,259.02
2015-03-02 02:44:29,259.02
2015-03-02 02:45:59,258.95
2015-03-02 02:47:22,258.92
2015-03-02 02:48:52,259.12
2015-03-02 02:50:22,259.14
2015-03-02 02:51:52,259.26
2015-03-02 02:53:21,259.37
2015-03-02 02:54:23,259.36
2015-03-02 02:55:51,259.67
2015-03-02 02:56:52,259.39
2015-03-02 02:58:21,259.39
2015-03-02 02:59:22,259.41
2015-03-02 03:00:51,259.59
2015-03-02 03:01:52,259.52
2015-03-02 03:03:21,259.46
2015-03-02 03:04:22,259.6
2015-03-02 03:05:50,259.5
2015-03-02 03:06:52,259.49
2015-03-02 03:08:23,259.51
2015-03-02 03:09:51,259.45
2015-03-02 03:10:53,259.43
2015-03-02 03:12:23,259.54
2015-03-02 03:13:52,260.17
2015-03-02 03:15:21,260.04
2015-03-02 03:16:23,259.98
2015-03-02 03:17:51,259.28
2015-03-02 03:18:53,259.33
2015-03-02 03:20:23,259.34
2015-03-02 03:21:54,259.31
2015-03-02 03:23:23,259.31
2015-03-02 03:24:53,259.47
2015-03-02 03:26:22,259.32
2015-03-02 03:27:54,259.39
2015-03-02 03:29:24,259.47
2015-03-02 03:30:54,259.66
2015-03-02 03:32:23,259.92
2015-03-02 03:33:53,259.72
2015-03-02 03:35:23,260.22
2015-03-02 03:36:53,260.16
2015-03-02 03:38:24,260.19
2015-03-02 03:39:54,259.89
2015-03-02 03:41:22,259.85
2015-03-02 03:42:24,260.07
2015-03-02 03:43:53,260.07
2015-03-02 03:45:24,260.07
2015-03-02 03:46:53,260.08
2015-03-02 03:48:23,260.43
2015-03-02 03:49:52,260.22
2015-03-02 03:50:54,260.56
2015-03-02 03:52:23,260.51
2015-03-02 03:53:53,260.44
2015-03-02 03:54:54,260.48
2015-03-02 03:55:55,260.42
2015-03-02 03:57:24,260.54
2015-03-02 03:58:25,260.67
2015-03-02 03:59:53,261.2
2015-03-02 04:01:24,261.41
2015-03-02 04:02:55,261.54
2015-03-02 04:04:25,261.48
2015-03-02 04:05:54,260.6
2015-03-02 04:06:55,260.72
2015-03-02 04:07:56,260.68
2015-03-02 04:09:23,260.47
2015-03-02 04:10:26,260.47
2015-03-02 04:11:55,260.58
2015-03-02 04:13:26,260.34
2015-03-02 04:14:57,260.1
2015-03-02 04:16:26,260.05
2015-03-02 04:17:56,259.74
2015-03-02 04:19:25,259.55
2015-03-02 04:20:27,259.37
2015-03-02 04:21:58,259.27
2015-03-02 04:22:59,259.31
2015-03-02 04:24:27,259.1
2015-03-02 04:25:58,259.36
2015-03-02 04:27:29,259.54
2015-03-02 04:28:57,259.65
2015-03-02 04:29:58,259.92
2015-03-02 04:30:59,259.96
2015-03-02 04:32:29,259.97
2015-03-02 04:33:59,259.97
2015-03-02 04:35:29,259.91
2015-03-02 04:36:57,260.12
2015-03-02 04:37:59,259.98
2015-03-02 04:39:27,260.0
2015-03-02 04:40:29,260.01
2015-03-02 04:41:59,260.07
2015-03-02 04:43:27,259.95
2015-03-02 04:44:29,259.92
2015-03-02 04:45:57,259.84
2015-03-02 04:46:58,259.83
2015-03-02 04:48:28,259.84
2015-03-02 04:49:29,259.79
2015-03-02 04:50:57,259.69
2015-03-02 04:52:28,259.77
2015-03-02 04:53:57,259.96
2015-03-02 04:54:59,259.94
2015-03-02 04:56:28,259.83
2015-03-02 04:57:50,259.89
2015-03-02 04:58:59,259.69
2015-03-02 05:00:28,259.74
2015-03-02 05:01:29,259.69
2015-03-02 05:02:59,259.74
2015-03-02 05:04:28,260.29
2015-03-02 05:05:29,260.48
2015-03-02 05:06:59,260.33
2015-03-02 05:08:29,260.59
2015-03-02 05:09:59,260.53
2015-03-02 05:11:28,260.61
2015-03-02 05:12:29,260.6
2015-03-02 05:13:58,260.64
2015-03-02 05:15:27,260.42
2015-03-02 05:16:29,260.34
2015-03-02 05:17:50,259.83
2015-03-02 05:19:21,260.07
2015-03-02 05:20:50,259.68
2015-03-02 05:21:52,259.85
2015-03-02 05:23:20,259.88
2015-03-02 05:24:21,259.81
2015-03-02 05:25:22,259.8
2015-03-02 05:26:51,259.7
2015-03-02 05:28:22,259.36
2015-03-02 05:29:51,259.71
2015-03-02 05:31:22,259.7
2015-03-02 05:32:50,259.8
2015-03-02 05:33:59,259.69
2015-03-02 05:35:21,259.7
2015-03-02 05:36:51,259.66
2015-03-02 05:38:22,259.44
2015-03-02 05:39:50,259.54
2015-03-02 05:40:59,259.46
2015-03-02 05:42:22,259.45
2015-03-02 05:43:52,259.54
2015-03-02 05:45:21,259.44
2015-03-02 05:46:51,259.94
2015-03-02 05:48:21,259.98
2015-03-02 05:49:51,259.99
2015-03-02 05:51:20,259.8
2015-03-02 05:52:49,259.87
2015-03-02 05:53:51,259.67
2015-03-02 05:55:20,259.76
2015-03-02 05:56:21,259.7
2015-03-02 05:57:50,259.75
2015-03-02 05:58:51,259.7
2015-03-02 06:00:21,259.56
2015-03-02 06:01:23,259.63
2015-03-02 06:02:53,259.45
2015-03-02 06:04:21,259.64
2015-03-02 06:05:22,259.7
2015-03-02 06:06:50,259.68
2015-03-02 06:07:52,259.74
2015-03-02 06:09:21,259.69
2015-03-02 06:10:52,259.56
2015-03-02 06:12:21,259.66
2015-03-02 06:13:22,259.63
2015-03-02 06:14:52,259.62
2015-03-02 06:16:20,259.65
2015-03-02 06:17:22,259.74
2015-03-02 06:18:51,259.82
2015-03-02 06:19:52,259.85
2015-03-02 06:21:21,259.87
2015-03-02 06:22:23,259.88
2015-03-02 06:23:51,259.9
2015-03-02 06:24:53,259.68
2015-03-02 06:26:22,259.78
2015-03-02 06:27:53,259.77
2015-03-02 06:29:22,259.68
2015-03-02 06:30:23,259.82
2015-03-02 06:31:51,259.81
2015-03-02 06:32:52,259.8
2015-03-02 06:34:23,259.88
2015-03-02 06:35:52,260.04
2015-03-02 06:37:23,259.95
2015-03-02 06:38:52,260.08
2015-03-02 06:40:22,260.16
2015-03-02 06:41:52,260.42
2015-03-02 06:42:53,260.38
2015-03-02 06:44:23,261.0
2015-03-02 06:45:51,261.1
2015-03-02 06:47:23,261.3
2015-03-02 06:48:52,262.58
2015-03-02 06:50:21,264.25
2015-03-02 06:51:22,263.96
2015-03-02 06:52:53,263.92
2015-03-02 06:54:22,263.16
2015-03-02 06:55:53,262.99
2015-03-02 06:57:22,263.63
2015-03-02 06:58:51,263.76
2015-03-02 06:59:52,263.65
2015-03-02 07:01:23,262.97
2015-03-02 07:02:50,262.26
2015-03-02 07:03:53,262.02
2015-03-02 07:05:23,262.79
2015-03-02 07:06:24,262.4
2015-03-02 07:07:53,262.43
2015-03-02 07:09:23,262.19
2015-03-02 07:10:53,262.46
2015-03-02 07:12:25,262.04
2015-03-02 07:13:53,261.25
2015-03-02 07:14:55,260.85
2015-03-02 07:16:23,261.2
2015-03-02 07:17:24,261.37
2015-03-02 07:18:53,261.44
2015-03-02 07:20:23,260.54
2015-03-02 07:21:53,260.66
2015-03-02 07:22:54,260.87
2015-03-02 07:23:55,261.07
2015-03-02 07:25:26,260.84
2015-03-02 07:26:55,260.83
2015-03-02 07:27:56,260.95
2015-03-02 07:29:24,260.89
2015-03-02 07:30:25,260.97
2015-03-02 07:31:55,261.11
2015-03-02 07:32:56,260.81
2015-03-02 07:34:26,260.9
2015-03-02 07:35:56,260.6
2015-03-02 07:37:25,260.54
2015-03-02 07:38:55,260.73
2015-03-02 07:40:25,261.05
2015-03-02 07:41:54,261.48
2015-03-02 07:43:24,261.39
2015-03-02 07:44:56,261.54
2015-03-02 07:46:25,261.49
2015-03-02 07:47:55,261.5
2015-03-02 07:49:25,261.31
2015-03-02 07:50:56,261.27
2015-03-02 07:52:25,261.27
2015-03-02 07:53:26,261.2
2015-03-02 07:54:56,260.97
2015-03-02 07:56:24,260.98
2015-03-02 07:57:25,261.1
2015-03-02 07:58:55,261.18
2015-03-02 07:59:56,260.99
2015-03-02 08:01:25,261.05
2015-03-02 08:02:27,261.13
2015-03-02 08:03:56,261.22
2015-03-02 08:05:27,261.49
2015-03-02 08:06:57,261.36
2015-03-02 08:08:26,261.32
2015-03-02 08:09:56,261.42
2015-03-02 08:11:27,261.23
2015-03-02 08:12:57,261.27
2015-03-02 08:13:58,261.2
2015-03-02 08:15:26,261.17
2015-03-02 08:16:57,261.22
2015-03-02 08:17:58,261.18
2015-03-02 08:19:27,261.19
2015-03-02 08:20:28,261.18
2015-03-02 08:21:58,261.16
2015-03-02 08:23:26,261.15
2015-03-02 08:24:58,261.22
2015-03-02 08:26:28,260.86
2015-03-02 08:27:56,261.09
2015-03-02 08:29:27,260.92
2015-03-02 08:30:28,260.77
2015-03-02 08:31:58,261.0
2015-03-02 08:33:27,261.06
2015-03-02 08:34:58,261.13
2015-03-02 08:36:27,260.85
2015-03-02 08:37:58,260.72
2015-03-02 08:39:28,260.74
2015-03-02 08:40:55,260.7
2015-03-02 08:41:57,260.71
2015-03-02 08:42:58,260.77
2015-03-02 08:44:28,261.05
2015-03-02 08:45:57,260.95
2015-03-02 08:47:28,260.9
2015-03-02 08:48:57,260.9
2015-03-02 08:49:58,260.95
2015-03-02 08:51:28,261.02
2015-03-02 08:52:58,260.91
2015-03-02 08:54:25,260.62
2015-03-02 08:55:27,260.65
2015-03-02 08:56:56,260.6
2015-03-02 08:58:28,259.59
2015-03-02 08:59:56,259.14
2015-03-02 09:00:58,259.68
2015-03-02 09:02:28,260.25
2015-03-02 09:03:56,260.75
2015-03-02 09:04:57,260.61
2015-03-02 09:06:27,260.46
2015-03-02 09:07:58,260.42
2015-03-02 09:09:26,260.61
2015-03-02 09:10:28,260.54
2015-03-02 09:11:57,260.66
2015-03-02 09:13:28,260.5
2015-03-02 09:14:58,260.42
2015-03-02 09:16:28,260.37
2015-03-02 09:17:58,260.42
2015-03-02 09:19:29,260.44
2015-03-02 09:20:58,260.49
2015-03-02 09:21:59,260.35
2015-03-02 09:23:29,260.31
2015-03-02 09:24:57,260.25
2015-03-02 09:25:58,260.23
2015-03-02 09:27:29,260.19
2015-03-02 09:28:59,260.18
2015-03-02 09:30:29,260.32
2015-03-02 09:31:58,260.13
2015-03-02 09:33:28,260.21
2015-03-02 09:34:58,260.48
2015-03-02 09:36:28,260.37
2015-03-02 09:37:58,260.55
2015-03-02 09:39:29,260.63
2015-03-02 09:40:58,260.43
2015-03-02 09:41:59,260.41
2015-03-02 09:43:28,260.42
2015-03-02 09:44:57,260.38
2015-03-02 09:45:59,260.4
2015-03-02 09:47:27,260.6
2015-03-02 09:48:57,260.65
2015-03-02 09:49:58,260.7
2015-03-02 09:50:59,260.64
2015-03-02 09:52:28,260.64
2015-03-02 09:53:57,260.57
2015-03-02 09:54:58,260.58
2015-03-02 09:56:28,260.53
2015-03-02 09:57:58,260.52
2015-03-02 09:59:27,260.53
2015-03-02 10:00:58,260.19
2015-03-02 10:01:59,260.25
2015-03-02 10:03:28,260.28
2015-03-02 10:04:29,260.3
2015-03-02 10:05:58,260.3
2015-03-02 10:07:28,260.52
2015-03-02 10:08:29,260.62
2015-03-02 10:09:59,260.59
2015-03-02 10:11:29,260.54
2015-03-02 10:12:58,260.68
2015-03-02 10:14:29,260.7
2015-03-02 10:15:59,260.63
2015-03-02 10:17:27,260.26
2015-03-02 10:18:29,260.38
2015-03-02 10:19:59,260.39
2015-03-02 10:21:29,260.39
2015-03-02 10:22:58,260.47
2015-03-02 10:24:28,260.52
2015-03-02 10:25:29,260.47
2015-03-02 10:26:58,260.39
2015-03-02 10:27:59,260.45
2015-03-02 10:29:29,260.37
